,Hugo_Symbol,count,Response
0,TTN,0.40390879478827363,Responder
1,MUC16,0.29967426710097717,Responder
2,RYR2,0.26058631921824105,Responder
3,ZFHX4,0.20846905537459282,Responder
4,FAT3,0.16938110749185667,Responder
5,TP53,0.16938110749185667,Responder
9,KRAS,0.13029315960912052,Responder
0,MUC16,0.4654983570646221,Non-Responder
1,TTN,0.3833515881708653,Non-Responder
2,RYR2,0.32858707557502737,Non-Responder
3,TP53,0.32858707557502737,Non-Responder
4,KRAS,0.30120481927710846,Non-Responder
15,FAT3,0.13691128148959475,Non-Responder
205,ZFHX4,0.054764512595837894,Non-Responder
